source_column,raw_value,python_normalized
customers.customer_city,abadia dos dourados,abadia dos dourados
customers.customer_city,abadiania,abadiania
customers.customer_city,abaete,abaete
customers.customer_city,abaetetuba,abaetetuba
customers.customer_city,abaiara,abaiara
customers.customer_city,abaira,abaira
customers.customer_city,abare,abare
customers.customer_city,abatia,abatia
customers.customer_city,abdon batista,abdon batista
customers.customer_city,abelardo luz,abelardo luz
customers.customer_city,abrantes,abrantes
customers.customer_city,abre campo,abre campo
customers.customer_city,abreu e lima,abreu e lima
customers.customer_city,acaiaca,acaiaca
customers.customer_city,acailandia,acailandia
customers.customer_city,acajutiba,acajutiba
customers.customer_city,acarau,acarau
customers.customer_city,acari,acari
customers.customer_city,acegua,acegua
customers.customer_city,acopiara,acopiara
customers.customer_city,acreuna,acreuna
customers.customer_city,acu,acu
customers.customer_city,acucena,acucena
customers.customer_city,adamantina,adamantina
customers.customer_city,adhemar de barros,adhemar de barros
customers.customer_city,adolfo,adolfo
customers.customer_city,adrianopolis,adrianopolis
customers.customer_city,adustina,adustina
customers.customer_city,afogados da ingazeira,afogados da ingazeira
customers.customer_city,afonso claudio,afonso claudio
customers.customer_city,afranio,afranio
customers.customer_city,agisse,agisse
customers.customer_city,agrestina,agrestina
customers.customer_city,agrolandia,agrolandia
customers.customer_city,agronomica,agronomica
customers.customer_city,agua boa,agua boa
customers.customer_city,agua branca,agua branca
customers.customer_city,agua clara,agua clara
customers.customer_city,agua comprida,agua comprida
customers.customer_city,agua doce,agua doce
customers.customer_city,agua doce do norte,agua doce do norte
customers.customer_city,agua fria de goias,agua fria de goias
customers.customer_city,agua limpa,agua limpa
customers.customer_city,agua nova,agua nova
customers.customer_city,agua preta,agua preta
customers.customer_city,agua santa,agua santa
customers.customer_city,aguai,aguai
customers.customer_city,aguas belas,aguas belas
customers.customer_city,aguas claras,aguas claras
customers.customer_city,aguas da prata,aguas da prata
customers.customer_city,aguas de lindoia,aguas de lindoia
customers.customer_city,aguas de santa barbara,aguas de santa barbara
customers.customer_city,aguas de sao pedro,aguas de sao pedro
customers.customer_city,aguas formosas,aguas formosas
customers.customer_city,aguas frias,aguas frias
customers.customer_city,aguas lindas de goias,aguas lindas de goias
customers.customer_city,aguas mornas,aguas mornas
customers.customer_city,aguas vermelhas,aguas vermelhas
customers.customer_city,agudo,agudo
customers.customer_city,agudos,agudos
customers.customer_city,aguia branca,aguia branca
customers.customer_city,aimores,aimores
customers.customer_city,aiuaba,aiuaba
customers.customer_city,aiuruoca,aiuruoca
customers.customer_city,ajapi,ajapi
customers.customer_city,ajuricaba,ajuricaba
customers.customer_city,alagoa,alagoa
customers.customer_city,alagoa grande,alagoa grande
customers.customer_city,alagoa nova,alagoa nova
customers.customer_city,alagoinha,alagoinha
customers.customer_city,alagoinhas,alagoinhas
customers.customer_city,alambari,alambari
customers.customer_city,alcantara,alcantara
customers.customer_city,alcinopolis,alcinopolis
customers.customer_city,alcobaca,alcobaca
customers.customer_city,alegre,alegre
customers.customer_city,alegrete,alegrete
customers.customer_city,alegrete do piaui,alegrete do piaui
customers.customer_city,alegria,alegria
customers.customer_city,alem paraiba,alem paraiba
customers.customer_city,alexandra,alexandra
